Country,Year,Region,Income_Group,Maternal_Mortality_Ratio,Antenatal_Care_Coverage,Skilled_Birth_Attendance,Adolescent_Birth_Rate,Health_Expenditure_PCT_GDP
Mozambique,2012,South Asia,Lower-middle,81.5,57.6,99.0,19.7,11.24
Mozambique,2013,South Asia,Lower-middle,81.1,64.7,97.6,2.2,11.7
Mozambique,2014,South Asia,Lower-middle,93.1,62.5,99.0,5.9,12.41
Mozambique,2015,South Asia,Lower-middle,80.5,62.9,96.8,18.5,11.4
Mozambique,2016,South Asia,Lower-middle,80.5,59.5,99.0,16.1,12.83
Mozambique,2017,South Asia,Lower-middle,74.5,71.6,99.0,9.5,12.15
Mozambique,2018,South Asia,Lower-middle,74.0,66.3,99.0,8.2,13.32
Mozambique,2019,South Asia,Lower-middle,75.4,67.1,97.7,3.0,12.8
Mozambique,2020,South Asia,Lower-middle,56.8,70.3,99.0,11.0,12.67
Mozambique,2021,South Asia,Lower-middle,67.3,69.1,99.0,6.7,12.96
Mozambique,2022,South Asia,Lower-middle,68.9,67.5,99.0,11.1,12.9
Mozambique,2023,South Asia,Lower-middle,63.1,70.9,99.0,13.0,12.97
Mali,2000,Southeast Asia,High,710.4,54.4,70.7,14.7,8.56
Mali,2001,Southeast Asia,High,642.8,59.2,72.1,15.2,8.87
Mali,2002,Southeast Asia,High,645.4,60.2,76.6,10.1,9.14
Mali,2003,Southeast Asia,High,593.0,61.7,80.8,21.0,7.59
Mali,2004,Southeast Asia,High,665.9,65.8,74.9,16.2,8.16
Mali,2005,Southeast Asia,High,626.8,63.8,79.0,31.8,8.86
Mali,2006,Southeast Asia,High,547.1,61.3,70.7,13.2,9.74
Mali,2007,Southeast Asia,High,600.6,62.2,84.5,14.3,9.65
Mali,2008,Southeast Asia,High,580.5,63.7,76.5,13.0,8.4
Mali,2009,Southeast Asia,High,559.5,64.6,77.9,25.5,9.33
Mali,2010,Southeast Asia,High,551.3,66.6,79.8,15.8,8.92
Mali,2011,Southeast Asia,High,589.2,62.0,83.6,16.4,9.56
Mali,2012,Southeast Asia,High,502.8,63.3,82.8,17.2,9.38
Mali,2013,Southeast Asia,High,536.5,68.3,78.7,15.6,10.66
Mali,2014,Southeast Asia,High,541.2,69.0,83.5,16.5,9.99
Mali,2015,Southeast Asia,High,473.9,69.6,92.3,9.6,9.18
Mali,2016,Southeast Asia,High,492.8,70.9,91.9,16.5,9.51
Mali,2017,Southeast Asia,High,470.6,67.0,89.2,15.9,9.71
Mali,2018,Southeast Asia,High,526.7,65.6,89.4,8.5,9.62
Mali,2019,Southeast Asia,High,407.1,68.1,94.4,10.2,10.14
Mali,2020,Southeast Asia,High,400.9,70.9,98.2,17.4,9.21
Mali,2021,Southeast Asia,High,335.0,77.0,92.7,4.3,10.76
Mali,2022,Southeast Asia,High,394.8,75.5,97.8,5.8,9.5
Mali,2023,Southeast Asia,High,429.6,71.3,92.8,7.0,11.45
Chad,2000,South Asia,Upper-middle,810.1,36.6,79.2,30.9,7.1
Chad,2001,South Asia,Upper-middle,817.6,29.4,82.4,27.3,7.34
Chad,2002,South Asia,Upper-middle,828.2,37.3,83.4,33.7,6.57
Chad,2003,South Asia,Upper-middle,728.6,30.0,85.0,26.9,7.83
Chad,2004,South Asia,Upper-middle,762.1,38.7,90.0,26.8,7.67
Chad,2005,South Asia,Upper-middle,816.1,35.0,88.7,26.4,7.02
Chad,2006,South Asia,Upper-middle,690.6,36.0,89.9,21.3,7.42
Chad,2007,South Asia,Upper-middle,774.5,41.8,89.2,37.4,8.73
Chad,2008,South Asia,Upper-middle,724.0,33.9,94.6,17.1,8.6
Chad,2009,South Asia,Upper-middle,752.5,47.5,93.8,26.3,7.73
Chad,2010,South Asia,Upper-middle,665.9,46.0,96.2,28.3,7.68
Chad,2011,South Asia,Upper-middle,785.2,46.7,90.4,24.7,8.59
Chad,2012,South Asia,Upper-middle,621.5,45.9,99.0,9.9,8.16
Chad,2013,South Asia,Upper-middle,636.1,44.5,98.3,29.8,8.37
Chad,2014,South Asia,Upper-middle,606.2,48.5,98.6,24.9,7.73
Chad,2015,South Asia,Upper-middle,538.5,43.4,99.0,25.2,7.73
Chad,2016,South Asia,Upper-middle,616.4,52.4,98.8,16.5,8.21
Chad,2017,South Asia,Upper-middle,608.6,50.8,98.9,32.4,9.32
Chad,2018,South Asia,Upper-middle,523.8,47.8,99.0,21.9,9.21
Chad,2019,South Asia,Upper-middle,556.6,53.5,99.0,32.5,8.29
Chad,2020,South Asia,Upper-middle,538.0,45.3,99.0,23.2,9.12
Chad,2021,South Asia,Upper-middle,500.5,51.0,99.0,30.0,8.8
Chad,2022,South Asia,Upper-middle,563.1,55.9,99.0,16.8,9.55
Chad,2023,South Asia,Upper-middle,450.2,50.8,99.0,15.4,8.79
Somalia,2000,Latin America,Low,439.5,55.8,88.0,22.3,6.47
Somalia,2001,Latin America,Low,437.5,61.3,85.6,15.1,6.52
Somalia,2002,Latin America,Low,405.6,61.7,90.6,18.4,5.58
Somalia,2003,Latin America,Low,397.1,57.6,89.1,15.0,7.38
Somalia,2004,Latin America,Low,390.2,63.8,93.4,21.6,6.91
Somalia,2005,Latin America,Low,384.5,63.9,90.5,11.4,5.93
Somalia,2006,Latin America,Low,351.4,59.4,97.0,15.9,7.09
Somalia,2007,Latin America,Low,350.7,65.7,91.8,15.7,7.36
Somalia,2008,Latin America,Low,339.4,63.8,98.3,14.3,6.93
Somalia,2009,Latin America,Low,341.5,64.3,96.3,18.5,7.4
Somalia,2010,Latin America,Low,391.2,69.5,98.3,9.6,7.38
Somalia,2011,Latin America,Low,316.2,62.6,99.0,11.4,7.2
Somalia,2012,Latin America,Low,328.9,71.5,98.8,13.7,8.04
Somalia,2013,Latin America,Low,308.5,71.7,95.9,7.3,8.06
Somalia,2014,Latin America,Low,280.4,72.4,99.0,11.5,7.43
Somalia,2015,Latin America,Low,318.8,77.8,99.0,14.7,7.59
Somalia,2016,Latin America,Low,265.9,73.3,99.0,4.0,8.42
Somalia,2017,Latin America,Low,301.0,71.7,99.0,17.7,8.21
Somalia,2018,Latin America,Low,249.4,74.5,99.0,13.7,8.46
Somalia,2019,Latin America,Low,273.6,73.5,99.0,13.9,8.69
Somalia,2020,Latin America,Low,281.4,74.4,99.0,18.0,7.87
Somalia,2021,Latin America,Low,281.3,82.7,99.0,13.0,8.57
Somalia,2022,Latin America,Low,259.0,81.1,99.0,15.5,8.49
Somalia,2023,Latin America,Low,259.1,76.3,99.0,19.2,8.0
Niger,2000,South Asia,Low,521.9,47.9,29.2,94.0,1.24
Niger,2001,South Asia,Low,559.2,49.6,38.0,90.5,2.21
Niger,2002,South Asia,Low,571.8,47.6,35.4,76.4,1.28
Niger,2003,South Asia,Low,531.7,46.2,32.8,81.6,2.26
Niger,2004,South Asia,Low,523.3,52.0,31.8,76.0,1.51
Niger,2005,South Asia,Low,457.0,48.2,36.0,83.5,2.27
Niger,2006,South Asia,Low,469.7,54.9,41.1,77.8,1.93
Niger,2007,South Asia,Low,460.5,49.1,41.8,83.3,2.9
Niger,2008,South Asia,Low,462.8,47.7,40.0,63.9,2.38
Niger,2009,South Asia,Low,461.3,50.5,35.9,74.3,2.04
Niger,2010,South Asia,Low,421.4,44.2,41.7,79.5,3.22
Niger,2011,South Asia,Low,430.5,51.9,44.3,64.6,2.63
Niger,2012,South Asia,Low,454.0,58.2,43.6,67.5,2.12
Niger,2013,South Asia,Low,397.9,54.7,46.1,72.0,2.25
Niger,2014,South Asia,Low,452.4,55.5,46.0,62.7,1.53
Niger,2015,South Asia,Low,424.2,59.4,46.3,65.7,3.08
Niger,2016,South Asia,Low,344.0,56.4,50.7,58.0,3.06
Niger,2017,South Asia,Low,338.8,60.3,49.3,55.2,3.58
Niger,2018,South Asia,Low,345.3,57.3,51.1,67.9,2.58
Niger,2019,South Asia,Low,356.7,61.9,53.6,62.0,2.99
Niger,2020,South Asia,Low,320.5,61.8,49.4,45.4,3.48
Niger,2021,South Asia,Low,358.4,55.3,50.7,62.1,4.37
Niger,2022,South Asia,Low,322.4,61.1,54.3,64.8,3.11
Niger,2023,South Asia,Low,288.2,62.7,53.0,57.5,4.33
Sierra Leone,2000,South Asia,High,412.4,43.0,69.4,24.2,3.54
Sierra Leone,2001,South Asia,High,378.4,42.9,71.8,19.3,3.2
Sierra Leone,2002,South Asia,High,372.7,39.3,70.2,21.7,4.99
Sierra Leone,2003,South Asia,High,366.9,38.0,72.0,17.0,4.71
Sierra Leone,2004,South Asia,High,374.3,44.6,82.5,13.2,4.72
Sierra Leone,2005,South Asia,High,342.7,44.9,76.7,22.2,3.98
Sierra Leone,2006,South Asia,High,348.8,43.7,82.7,17.8,4.43
Sierra Leone,2007,South Asia,High,368.7,41.7,83.1,21.4,4.94
Sierra Leone,2008,South Asia,High,349.1,43.3,82.0,17.3,4.63
Sierra Leone,2009,South Asia,High,345.0,46.9,81.7,14.5,4.46
Sierra Leone,2010,South Asia,High,331.4,49.1,79.7,16.3,5.12
Sierra Leone,2011,South Asia,High,320.1,42.9,84.6,17.2,5.96
Sierra Leone,2012,South Asia,High,315.0,49.9,86.5,13.8,6.2
Sierra Leone,2013,South Asia,High,269.1,51.9,88.1,17.2,5.65
Sierra Leone,2014,South Asia,High,287.6,48.4,88.7,14.2,5.29
Sierra Leone,2015,South Asia,High,274.1,50.2,89.7,16.0,5.39
Sierra Leone,2016,South Asia,High,268.0,56.5,90.5,19.8,5.92
Sierra Leone,2017,South Asia,High,258.3,55.6,91.6,10.6,4.95
Sierra Leone,2018,South Asia,High,250.8,49.9,91.0,13.0,5.7
Sierra Leone,2019,South Asia,High,283.0,54.6,91.9,19.7,5.49
Sierra Leone,2020,South Asia,High,263.6,57.1,94.0,18.2,6.94
Sierra Leone,2021,South Asia,High,257.7,63.1,96.5,9.8,5.88
Sierra Leone,2022,South Asia,High,196.2,58.9,98.3,12.4,5.77
Sierra Leone,2023,South Asia,High,225.8,54.6,93.3,22.7,6.24
South Sudan,2000,MENA,Lower-middle,442.4,30.1,71.2,119.1,10.23
South Sudan,2001,MENA,Lower-middle,452.6,31.6,67.9,117.5,11.01
South Sudan,2002,MENA,Lower-middle,434.0,31.3,67.2,114.6,10.62
South Sudan,2003,MENA,Lower-middle,448.6,36.6,72.9,110.7,10.94
South Sudan,2004,MENA,Lower-middle,441.7,33.7,69.8,104.5,11.29
South Sudan,2005,MENA,Lower-middle,410.9,39.0,72.1,110.8,10.12
South Sudan,2006,MENA,Lower-middle,374.3,29.7,70.9,121.5,10.36
South Sudan,2007,MENA,Lower-middle,337.2,41.2,80.7,110.1,11.24
South Sudan,2008,MENA,Lower-middle,381.7,33.8,70.4,105.4,10.93
South Sudan,2009,MENA,Lower-middle,377.2,42.6,74.1,109.7,10.98
South Sudan,2010,MENA,Lower-middle,394.7,41.2,75.6,104.2,11.21
South Sudan,2011,MENA,Lower-middle,364.4,44.1,77.7,100.5,10.88
South Sudan,2012,MENA,Lower-middle,366.1,43.7,75.5,105.0,10.93
